,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
238,239,2,2.0,0,3.0,1,3,3.0,6,1.0,4.0,2.0,3,0,3.0,3,4,3.0,4,3.0,4.0,4.0,4.0,3.0,3.0,4,4.0,3.0,2,2.0,8.0
239,240,2,2.0,0,2.0,1,8,3.0,8,1.0,4.0,2.0,2,2,3.0,3,3,3.0,3,2.0,3.0,3.0,2.0,2.0,2.0,2,4.0,3.0,2,2.0,8.0
240,241,2,6.0,0,3.0,1,2,3.0,14,2.0,1.0,2.0,1,2,2.0,2,2,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,1.0,3,2.0,10.0
241,242,1,4.0,0,1.0,1,5,3.0,1,4.0,2.0,1.0,3,6,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,7.0
242,243,1,3.0,0,3.0,2,2,3.0,9,2.0,1.0,1.0,2,3,4.0,4,4,4.0,5,3.0,3.0,2.0,4.0,3.0,4.0,5,4.0,2.0,3,3.0,4.0
244,245,1,2.0,0,2.0,1,9,3.0,7,1.0,1.0,2.0,2,0,1.0,2,2,2.0,2,2.0,2.0,2.0,2.0,3.0,2.0,2,2.0,2.0,2,1.0,8.0
245,246,1,5.0,0,3.0,2,2,3.0,13,2.0,1.0,2.0,4,7,1.0,3,2,2.0,2,4.0,3.0,2.0,2.0,4.0,2.0,3,2.0,4.0,4,4.0,6.0
246,247,2,6.0,1,1.0,1,2,3.0,14,2.0,1.0,2.0,2,6,2.0,3,3,3.0,2,4.0,3.0,2.0,2.0,2.0,3.0,4,3.0,4.0,2,1.0,9.0
247,248,2,5.0,0,3.0,1,2,3.0,9,3.0,1.0,2.0,2,2,2.0,2,3,2.0,2,2.0,2.0,3.0,2.0,2.0,2.0,2,2.0,2.0,3,1.0,8.0
248,249,2,1.0,0,2.0,4,8,10.0,14,1.0,3.0,1.0,4,2,1.0,4,2,4.0,1,3.0,4.0,3.0,2.0,5.0,4.0,3,2.0,2.0,2,3.0,4.0
250,251,1,2.0,0,3.0,1,5,4.0,12,1.0,1.0,2.0,4,0,2.0,3,2,4.0,3,3.0,2.0,2.0,2.0,5.0,2.0,2,3.0,3.0,2,2.0,7.0
251,252,1,5.0,0,3.0,1,5,4.0,14,2.0,1.0,1.0,1,2,4.0,5,3,5.0,3,4.0,4.0,5.0,4.0,3.0,4.0,3,5.0,5.0,2,5.0,5.0
252,253,1,2.0,0,3.0,1,5,4.0,8,1.0,4.0,2.0,1,1,2.0,3,1,3.0,3,2.0,2.0,2.0,2.0,3.0,1.0,2,2.0,2.0,2,1.0,8.0
253,254,1,2.0,0,1.0,1,8,4.0,9,1.0,4.0,2.0,3,2,3.0,4,3,4.0,4,3.0,3.0,3.0,2.0,4.0,3.0,3,3.0,2.0,2,2.0,7.0
254,255,2,5.0,0,3.0,1,1,4.0,12,2.0,4.0,2.0,2,5,3.0,3,3,4.0,3,2.0,3.0,3.0,2.0,2.0,3.0,3,4.0,3.0,3,3.0,6.0
255,256,2,5.0,0,3.0,1,3,4.0,14,2.0,1.0,2.0,3,2,3.0,3,4,4.0,4,1.0,3.0,4.0,2.0,1.0,2.0,4,5.0,4.0,4,3.0,4.0
256,257,1,2.0,1,3.0,1,8,4.0,7,2.0,1.0,1.0,3,3,3.0,4,3,4.0,3,2.0,3.0,2.0,3.0,3.0,3.0,3,4.0,3.0,2,2.0,8.0
257,258,1,4.0,0,1.0,1,5,4.0,14,2.0,1.0,1.0,3,3,1.0,3,1,3.0,3,2.0,1.0,1.0,1.0,1.0,1.0,1,3.0,1.0,1,1.0,9.0
258,259,2,1.0,0,2.0,1,8,1.0,12,1.0,4.0,2.0,1,3,2.0,3,3,3.0,3,3.0,2.0,2.0,3.0,4.0,3.0,3,3.0,4.0,2,3.0,6.0
