,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
596,597,1,6.0,0,1.0,1,9,9.0,1,2.0,1.0,2.0,3,6,2.0,2,2,3.0,3,2.0,2.0,2.0,2.0,2.0,3.0,3,3.0,3.0,3,2.0,8.0
597,598,2,2.0,0,2.0,1,8,9.0,8,1.0,1.0,2.0,1,0,3.0,3,3,3.0,3,2.0,2.0,2.0,2.0,4.0,3.0,2,4.0,2.0,2,2.0,8.0
598,599,2,3.0,0,3.0,1,4,9.0,9,2.0,1.0,2.0,1,1,4.0,5,3,3.0,3,4.0,4.0,3.0,1.0,2.0,4.0,3,5.0,3.0,2,4.0,4.0
599,600,2,6.0,0,3.0,1,2,9.0,9,2.0,1.0,2.0,1,5,1.0,3,2,3.0,2,3.0,2.0,3.0,1.0,2.0,3.0,2,2.0,3.0,3,3.0,6.0
600,601,1,5.0,0,3.0,1,3,9.0,9,2.0,1.0,1.0,1,5,2.0,2,1,4.0,3,3.0,3.0,2.0,1.0,2.0,2.0,3,3.0,2.0,1,1.0,9.0
601,602,2,4.0,0,1.0,5,9,9.0,2,1.0,2.0,1.0,1,2,5.0,2,3,5.0,4,3.0,3.0,3.0,3.0,4.0,2.0,3,5.0,2.0,2,3.0,8.0
602,603,2,5.0,0,3.0,1,3,9.0,9,2.0,1.0,1.0,2,4,2.0,2,2,2.0,3,4.0,3.0,4.0,3.0,4.0,1.0,3,3.0,1.0,1,3.0,7.0
604,605,1,5.0,0,3.0,1,3,9.0,12,4.0,4.0,2.0,1,2,3.0,4,4,3.0,2,2.0,3.0,1.0,2.0,2.0,1.0,3,3.0,4.0,4,1.0,9.0
605,606,1,3.0,0,1.0,1,10,9.0,2,1.0,2.0,1.0,4,3,1.0,2,2,1.0,1,4.0,2.0,1.0,1.0,4.0,2.0,3,3.0,4.0,2,3.0,7.0
606,607,1,6.0,0,1.0,1,8,9.0,3,3.0,1.0,1.0,3,2,1.0,3,4,5.0,4,4.0,2.0,2.0,3.0,4.0,1.0,3,2.0,1.0,2,1.0,8.0
607,608,1,6.0,0,3.0,2,3,9.0,10,1.0,1.0,1.0,2,2,1.0,2,2,3.0,4,4.0,2.0,1.0,2.0,4.0,2.0,3,3.0,3.0,1,1.0,9.0
608,609,1,4.0,0,3.0,1,10,9.0,9,2.0,2.0,1.0,5,1,1.0,1,1,1.0,4,4.0,3.0,3.0,3.0,5.0,3.0,3,4.0,3.0,2,3.0,5.0
609,610,2,2.0,1,3.0,6,10,9.0,5,1.0,2.0,2.0,4,0,2.0,3,1,1.0,4,5.0,2.0,1.0,4.0,5.0,2.0,3,3.0,3.0,1,1.0,10.0
610,611,2,1.0,1,3.0,6,10,9.0,5,1.0,2.0,1.0,4,0,4.0,2,1,1.0,2,3.0,1.0,4.0,4.0,3.0,2.0,2,4.0,3.0,1,1.0,4.0
611,612,1,5.0,0,3.0,1,7,9.0,14,4.0,1.0,1.0,1,0,5.0,3,4,3.0,4,2.0,4.0,2.0,2.0,2.0,2.0,4,4.0,3.0,3,3.0,6.0
612,613,1,3.0,0,3.0,1,8,9.0,9,2.0,1.0,1.0,1,0,3.0,3,3,3.0,3,4.0,2.0,3.0,2.0,2.0,2.0,2,3.0,3.0,2,3.0,9.0
613,614,2,2.0,0,3.0,1,8,9.0,14,2.0,1.0,2.0,2,0,1.0,2,1,1.0,1,4.0,1.0,2.0,3.0,3.0,1.0,3,1.0,2.0,2,1.0,8.0
614,615,2,2.0,0,3.0,2,8,9.0,9,1.0,1.0,2.0,3,0,3.0,3,3,3.0,5,3.0,3.0,2.0,3.0,3.0,3.0,3,4.0,3.0,2,2.0,7.0
615,616,1,5.0,0,3.0,1,3,9.0,11,2.0,1.0,2.0,2,3,2.0,2,4,4.0,4,2.0,4.0,2.0,2.0,2.0,1.0,4,3.0,2.0,2,2.0,6.0
616,617,2,6.0,0,3.0,1,3,9.0,15,3.0,1.0,2.0,1,5,2.0,3,4,3.0,5,5.0,2.0,3.0,1.0,4.0,1.0,2,2.0,3.0,3,3.0,8.0
617,618,1,6.0,0,3.0,1,1,9.0,15,2.0,1.0,2.0,4,2,1.0,1,3,3.0,5,5.0,1.0,2.0,1.0,4.0,3.0,2,4.0,3.0,4,3.0,6.0
618,619,1,6.0,0,3.0,1,3,9.0,15,2.0,1.0,2.0,2,4,2.0,2,3,3.0,3,3.0,2.0,3.0,1.0,5.0,3.0,4,4.0,2.0,4,3.0,5.0
619,620,2,2.0,0,2.0,1,7,9.0,8,1.0,4.0,2.0,2,1,1.0,2,2,3.0,3,3.0,3.0,3.0,2.0,1.0,1.0,2,2.0,3.0,3,2.0,9.0
620,621,2,3.0,0,3.0,1,2,9.0,9,1.0,1.0,1.0,1,1,1.0,3,2,3.0,3,3.0,2.0,3.0,3.0,3.0,3.0,3,3.0,3.0,2,3.0,7.0
621,622,2,6.0,0,3.0,1,3,9.0,9,2.0,1.0,2.0,1,8,3.0,3,3,4.0,3,4.0,3.0,2.0,3.0,4.0,3.0,2,2.0,3.0,2,2.0,7.0
622,623,2,4.0,0,3.0,1,3,9.0,12,2.0,2.0,1.0,1,2,1.0,4,2,2.0,4,3.0,3.0,3.0,3.0,4.0,3.0,2,4.0,5.0,3,2.0,8.0
623,624,1,6.0,0,3.0,1,3,9.0,9,1.0,4.0,2.0,1,3,3.0,2,2,2.0,2,2.0,2.0,2.0,1.0,2.0,2.0,2,2.0,2.0,2,2.0,6.0
624,625,2,3.0,0,3.0,1,3,9.0,9,2.0,1.0,2.0,3,2,3.0,3,3,3.0,3,2.0,3.0,3.0,2.0,3.0,2.0,3,2.0,3.0,2,2.0,8.0
625,626,1,4.0,0,1.0,1,9,9.0,3,2.0,1.0,2.0,3,2,2.0,3,2,3.0,3,3.0,3.0,2.0,2.0,3.0,3.0,3,3.0,3.0,2,2.0,8.0
627,628,2,4.0,1,3.0,1,3,9.0,13,2.0,1.0,1.0,1,4,3.0,3,3,3.0,3,3.0,3.0,2.0,4.0,4.0,3.0,3,4.0,3.0,3,2.0,8.0
628,629,1,3.0,1,3.0,1,2,9.0,13,2.0,1.0,2.0,2,3,2.0,4,3,4.0,1,2.0,3.0,4.0,2.0,1.0,3.0,3,2.0,3.0,3,2.0,8.0
629,630,1,3.0,0,3.0,1,3,9.0,9,2.0,1.0,1.0,3,2,1.0,1,1,2.0,1,2.0,2.0,3.0,2.0,1.0,1.0,2,2.0,2.0,2,1.0,9.0
630,631,2,3.0,0,3.0,1,2,9.0,13,2.0,1.0,2.0,2,1,2.0,2,2,3.0,3,2.0,3.0,3.0,2.0,1.0,2.0,2,3.0,3.0,2,2.0,8.0
631,632,1,5.0,0,3.0,2,1,9.0,13,2.0,1.0,2.0,1,4,2.0,3,3,3.0,1,2.0,3.0,3.0,1.0,2.0,2.0,1,2.0,2.0,4,3.0,8.0
632,633,2,4.0,0,3.0,1,2,9.0,12,2.0,1.0,2.0,2,3,2.0,3,4,4.0,3,2.0,3.0,4.0,1.0,1.0,3.0,3,3.0,3.0,3,4.0,6.0
633,634,1,2.0,0,3.0,1,4,9.0,9,2.0,1.0,1.0,3,1,1.0,1,1,2.0,1,2.0,2.0,3.0,1.0,1.0,1.0,2,2.0,1.0,1,1.0,9.0
634,635,2,3.0,0,3.0,1,1,9.0,13,2.0,1.0,2.0,2,3,2.0,3,3,4.0,2,2.0,3.0,3.0,1.0,2.0,3.0,2,1.0,3.0,3,2.0,8.0
635,636,2,3.0,0,3.0,1,2,9.0,14,2.0,1.0,1.0,3,0,2.0,2,4,3.0,2,2.0,2.0,3.0,1.0,1.0,2.0,2,2.0,3.0,2,3.0,7.0
636,637,1,6.0,0,3.0,1,2,7.0,15,2.0,1.0,2.0,3,4,3.0,4,3,5.0,1,2.0,3.0,2.0,2.0,2.0,3.0,4,3.0,2.0,1,3.0,8.0
637,638,1,6.0,0,3.0,1,2,7.0,14,2.0,1.0,2.0,1,3,2.0,3,3,4.0,4,3.0,3.0,3.0,3.0,3.0,3.0,4,4.0,4.0,3,3.0,5.0
638,639,2,3.0,0,3.0,1,5,7.0,8,2.0,2.0,1.0,2,0,2.0,3,3,4.0,4,3.0,2.0,3.0,2.0,4.0,2.0,4,4.0,3.0,1,3.0,6.0
639,640,2,2.0,0,3.0,1,4,7.0,8,2.0,3.0,1.0,1,2,2.0,2,2,2.0,3,3.0,3.0,3.0,2.0,3.0,2.0,3,3.0,3.0,2,3.0,6.0
640,641,1,4.0,0,1.0,1,9,7.0,3,2.0,1.0,1.0,1,2,2.0,4,3,3.0,3,3.0,3.0,3.0,2.0,3.0,2.0,3,4.0,3.0,3,2.0,8.0
641,642,1,4.0,0,1.0,1,8,7.0,3,2.0,1.0,1.0,3,2,2.0,2,2,2.0,2,2.0,2.0,2.0,2.0,2.0,1.0,1,1.0,1.0,1,1.0,9.0
642,643,2,2.0,0,3.0,1,9,2.0,7,2.0,1.0,2.0,1,1,2.0,3,2,3.0,2,2.0,2.0,2.0,2.0,3.0,2.0,2,2.0,2.0,2,1.0,8.0
643,644,2,4.0,0,3.0,1,3,7.0,8,2.0,1.0,2.0,2,3,3.0,3,3,2.0,1,2.0,2.0,2.0,2.0,2.0,1.0,1,2.0,3.0,2,3.0,6.0
644,645,2,2.0,0,2.0,1,9,7.0,14,1.0,2.0,1.0,3,1,2.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,2,2.0,6.0
645,646,2,1.0,0,2.0,1,6,7.0,15,1.0,4.0,2.0,4,1,1.0,2,2,2.0,2,3.0,2.0,1.0,3.0,2.0,2.0,2,3.0,3.0,3,3.0,10.0
646,647,1,2.0,0,3.0,2,6,7.0,6,3.0,4.0,2.0,3,1,4.0,4,4,5.0,4,4.0,3.0,4.0,3.0,2.0,3.0,3,3.0,3.0,1,3.0,6.0
647,648,1,2.0,0,2.0,1,9,7.0,14,1.0,1.0,2.0,3,0,2.0,2,2,3.0,2,2.0,3.0,3.0,2.0,3.0,2.0,2,3.0,4.0,3,2.0,7.0
648,649,1,4.0,0,1.0,1,9,7.0,2,2.0,1.0,1.0,4,1,2.0,3,2,2.0,2,2.0,3.0,1.0,1.0,1.0,1.0,2,2.0,3.0,3,2.0,9.0
650,651,2,3.0,0,3.0,1,5,7.0,9,2.0,2.0,1.0,4,2,2.0,2,3,4.0,3,3.0,3.0,3.0,2.0,2.0,1.0,3,3.0,3.0,2,2.0,8.0
651,652,1,4.0,0,1.0,1,9,7.0,3,2.0,2.0,1.0,3,2,2.0,2,2,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,2,2.0,2.0,2,2.0,8.0
652,653,2,6.0,0,2.0,2,2,7.0,14,2.0,4.0,2.0,1,2,3.0,3,3,3.0,4,2.0,3.0,3.0,2.0,1.0,2.0,3,3.0,3.0,3,2.0,6.0
653,655,2,3.0,0,3.0,1,6,7.0,4,2.0,1.0,2.0,2,3,2.0,2,3,3.0,3,2.0,3.0,2.0,2.0,2.0,3.0,3,2.0,2.0,2,2.0,6.0
654,656,2,3.0,0,2.0,1,6,7.0,14,2.0,4.0,2.0,3,1,2.0,4,4,3.0,3,3.0,2.0,2.0,1.0,1.0,1.0,4,3.0,3.0,1,2.0,8.0
655,657,1,2.0,0,3.0,1,8,7.0,8,1.0,1.0,2.0,1,0,3.0,3,3,3.0,3,4.0,2.0,1.0,2.0,2.0,2.0,3,3.0,3.0,1,2.0,8.0
656,658,2,2.0,0,2.0,1,6,10.0,8,2.0,4.0,1.0,1,1,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,4.0,4.0,3,5.0,3.0,3,4.0,6.0
657,659,2,2.0,0,3.0,1,4,1.0,8,2.0,1.0,2.0,1,3,5.0,5,5,3.0,5,3.0,3.0,3.0,3.0,5.0,3.0,5,5.0,3.0,4,3.0,10.0
658,660,2,2.0,0,2.0,1,4,7.0,8,1.0,4.0,2.0,2,1,3.0,3,5,4.0,3,3.0,3.0,4.0,3.0,4.0,3.0,3,3.0,3.0,3,5.0,9.0
659,661,1,2.0,0,3.0,1,5,10.0,10,4.0,1.0,1.0,4,3,1.0,1,1,2.0,1,2.0,1.0,1.0,1.0,2.0,2.0,3,2.0,3.0,1,2.0,10.0
660,662,2,6.0,0,3.0,1,2,7.0,14,2.0,2.0,2.0,1,4,1.0,4,4,5.0,4,2.0,2.0,3.0,1.0,1.0,3.0,5,5.0,2.0,4,3.0,5.0
661,663,1,6.0,0,1.0,1,3,7.0,14,2.0,1.0,2.0,1,7,2.0,2,3,2.0,2,1.0,1.0,1.0,2.0,4.0,1.0,1,1.0,1.0,3,2.0,10.0
662,664,1,2.0,0,2.0,1,9,7.0,14,1.0,1.0,2.0,3,0,2.0,4,4,2.0,1,4.0,2.0,2.0,2.0,2.0,2.0,3,3.0,4.0,2,2.0,8.0
663,665,1,5.0,0,3.0,1,5,7.0,8,4.0,4.0,2.0,1,4,4.0,4,4,4.0,4,4.0,3.0,4.0,4.0,3.0,3.0,3,4.0,3.0,4,4.0,5.0
664,666,1,6.0,0,1.0,1,3,7.0,14,2.0,4.0,2.0,1,0,3.0,3,3,2.0,3,2.0,3.0,2.0,2.0,2.0,2.0,2,3.0,3.0,2,2.0,6.0
665,667,2,4.0,0,3.0,1,9,7.0,12,1.0,1.0,2.0,3,1,3.0,3,3,3.0,4,2.0,3.0,3.0,2.0,3.0,4.0,4,4.0,4.0,3,2.0,7.0
667,669,2,5.0,0,3.0,1,3,7.0,8,2.0,4.0,2.0,2,2,1.0,2,2,2.0,4,2.0,2.0,1.0,2.0,2.0,2.0,2,2.0,3.0,2,2.0,8.0
668,670,2,3.0,0,3.0,1,5,7.0,8,2.0,1.0,2.0,2,0,3.0,3,4,3.0,4,3.0,3.0,3.0,3.0,2.0,3.0,3,3.0,3.0,2,2.0,6.0
670,672,1,2.0,0,3.0,1,3,7.0,14,1.0,1.0,1.0,1,1,2.0,3,3,4.0,4,4.0,2.0,2.0,2.0,2.0,2.0,2,4.0,3.0,2,1.0,3.0
671,673,2,2.0,0,3.0,1,9,7.0,8,1.0,4.0,2.0,2,1,3.0,4,3,4.0,3,3.0,4.0,4.0,4.0,4.0,3.0,3,4.0,3.0,2,3.0,6.0
672,674,2,2.0,0,2.0,1,9,7.0,14,1.0,1.0,2.0,1,0,3.0,3,4,3.0,3,3.0,3.0,3.0,3.0,2.0,4.0,3,4.0,4.0,3,2.0,6.0
673,675,2,2.0,0,3.0,1,8,7.0,8,2.0,1.0,2.0,1,1,3.0,3,3,2.0,2,2.0,4.0,4.0,2.0,2.0,2.0,2,3.0,3.0,4,1.0,6.0
674,676,1,2.0,0,2.0,1,10,7.0,5,1.0,4.0,1.0,2,0,2.0,3,2,2.0,2,2.0,3.0,3.0,2.0,3.0,1.0,3,2.0,2.0,2,2.0,7.0
675,677,1,3.0,0,1.0,1,9,7.0,3,2.0,1.0,1.0,3,1,2.0,2,2,3.0,2,2.0,2.0,2.0,1.0,2.0,2.0,2,2.0,2.0,2,2.0,8.0
676,678,2,4.0,0,3.0,1,8,7.0,3,2.0,1.0,1.0,3,0,2.0,2,3,4.0,4,3.0,2.0,3.0,3.0,4.0,2.0,3,4.0,3.0,2,3.0,7.0
677,679,2,2.0,0,3.0,1,9,7.0,14,1.0,1.0,2.0,2,0,2.0,3,3,2.0,4,4.0,3.0,3.0,2.0,4.0,1.0,2,4.0,5.0,2,2.0,6.0
678,680,1,3.0,0,3.0,1,8,7.0,9,2.0,1.0,1.0,3,1,2.0,2,3,3.0,3,4.0,2.0,3.0,2.0,3.0,3.0,2,2.0,3.0,2,2.0,7.0
679,681,1,5.0,0,3.0,1,2,7.0,12,2.0,4.0,2.0,1,3,3.0,2,2,2.0,2,2.0,2.0,2.0,2.0,3.0,1.0,2,2.0,3.0,4,3.0,6.0
680,682,1,2.0,0,2.0,2,8,7.0,8,1.0,1.0,2.0,1,1,2.0,4,2,5.0,4,2.0,2.0,2.0,2.0,2.0,2.0,4,3.0,4.0,3,1.0,8.0
682,684,1,3.0,0,3.0,1,9,7.0,7,2.0,3.0,1.0,4,0,2.0,2,3,3.0,4,3.0,3.0,2.0,2.0,2.0,3.0,4,3.0,3.0,2,2.0,7.0
683,685,2,1.0,0,3.0,1,5,7.0,14,1.0,1.0,2.0,3,0,2.0,3,3,3.0,4,4.0,2.0,4.0,3.0,4.0,5.0,3,5.0,4.0,2,3.0,7.0
684,686,1,6.0,0,3.0,1,2,7.0,13,2.0,1.0,1.0,1,1,2.0,4,4,4.0,4,2.0,4.0,4.0,2.0,2.0,2.0,5,2.0,4.0,4,4.0,3.0
685,687,2,3.0,0,1.0,1,10,7.0,7,2.0,2.0,1.0,4,0,3.0,3,3,3.0,3,4.0,3.0,3.0,2.0,3.0,3.0,3,3.0,2.0,2,2.0,7.0
686,688,2,3.0,0,1.0,1,9,7.0,14,2.0,1.0,1.0,1,1,3.0,3,3,3.0,3,2.0,3.0,5.0,3.0,4.0,2.0,2,3.0,3.0,2,2.0,6.0
687,689,2,2.0,0,2.0,1,9,7.0,4,1.0,4.0,2.0,3,1,2.0,3,2,2.0,3,3.0,3.0,3.0,2.0,2.0,3.0,2,2.0,3.0,3,2.0,7.0
688,690,1,2.0,0,2.0,1,4,7.0,8,1.0,4.0,2.0,1,2,3.0,4,3,3.0,4,3.0,3.0,4.0,2.0,4.0,4.0,5,5.0,3.0,2,3.0,7.0
689,691,1,6.0,0,1.0,1,5,7.0,14,2.0,1.0,2.0,2,5,2.0,2,2,4.0,3,2.0,2.0,2.0,3.0,2.0,1.0,2,4.0,3.0,2,2.0,8.0
690,692,2,6.0,0,3.0,1,3,7.0,14,2.0,1.0,1.0,2,1,2.0,4,2,2.0,1,2.0,2.0,3.0,1.0,2.0,2.0,2,2.0,2.0,3,2.0,8.0
691,693,2,2.0,0,3.0,1,3,7.0,8,2.0,1.0,1.0,3,2,1.0,2,2,2.0,3,2.0,2.0,2.0,2.0,3.0,3.0,3,3.0,2.0,2,2.0,7.0
692,694,1,4.0,0,3.0,2,5,7.0,9,2.0,1.0,1.0,1,2,5.0,4,4,5.0,5,5.0,4.0,5.0,4.0,5.0,3.0,5,5.0,4.0,4,4.0,3.0
693,695,2,4.0,0,3.0,1,3,7.0,9,2.0,1.0,2.0,2,2,2.0,4,3,3.0,5,5.0,3.0,3.0,2.0,5.0,2.0,3,4.0,4.0,2,3.0,6.0
694,696,1,2.0,0,3.0,1,8,7.0,8,1.0,1.0,2.0,3,0,3.0,4,3,2.0,4,4.0,3.0,2.0,3.0,5.0,3.0,4,5.0,3.0,2,2.0,6.0
695,697,2,4.0,1,3.0,2,8,2.0,12,2.0,2.0,1.0,1,3,5.0,5,4,5.0,5,5.0,5.0,4.0,2.0,3.0,1.0,5,5.0,2.0,3,4.0,5.0
696,698,1,2.0,0,2.0,1,8,1.0,4,1.0,2.0,2.0,1,0,1.0,5,2,2.0,2,3.0,3.0,3.0,2.0,4.0,2.0,3,4.0,3.0,2,1.0,6.0
697,699,1,2.0,0,2.0,1,8,7.0,9,2.0,4.0,1.0,3,1,3.0,3,3,4.0,2,2.0,3.0,2.0,2.0,3.0,2.0,2,2.0,3.0,2,2.0,7.0
698,700,2,4.0,0,3.0,1,3,2.0,12,2.0,1.0,2.0,1,1,2.0,3,3,3.0,3,2.0,2.0,3.0,2.0,3.0,3.0,2,3.0,3.0,2,2.0,5.0
699,701,1,2.0,0,3.0,1,4,2.0,4,1.0,4.0,2.0,1,1,2.0,3,3,3.0,2,2.0,2.0,3.0,2.0,2.0,3.0,2,2.0,3.0,3,3.0,7.0
700,702,2,1.0,0,2.0,1,5,7.0,15,1.0,4.0,2.0,2,3,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,5.0
701,703,2,4.0,0,1.0,1,9,7.0,5,2.0,2.0,1.0,4,2,2.0,2,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,3.0,2,2.0,8.0
702,704,2,3.0,0,3.0,7,9,7.0,8,2.0,1.0,2.0,3,3,3.0,3,3,2.0,5,3.0,3.0,4.0,4.0,4.0,2.0,4,5.0,4.0,4,4.0,4.0
703,705,2,3.0,0,3.0,1,4,7.0,12,2.0,1.0,1.0,3,1,3.0,3,2,2.0,2,1.0,2.0,3.0,2.0,1.0,2.0,3,2.0,2.0,1,3.0,7.0
705,707,1,4.0,0,3.0,1,8,7.0,12,2.0,4.0,1.0,2,3,3.0,3,3,2.0,1,3.0,3.0,3.0,2.0,3.0,3.0,2,3.0,3.0,2,2.0,7.0
706,708,1,2.0,0,3.0,2,6,7.0,8,2.0,1.0,1.0,1,0,1.0,2,2,2.0,2,3.0,3.0,2.0,3.0,5.0,4.0,4,4.0,3.0,3,2.0,6.0
707,709,1,2.0,0,2.0,1,8,7.0,8,1.0,4.0,2.0,1,1,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,4.0,2.0,2,3.0,2.0,2,3.0,7.0
709,711,1,3.0,0,2.0,1,8,7.0,5,2.0,4.0,2.0,1,0,5.0,5,5,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,4,1.0,5.0
710,712,1,2.0,0,2.0,1,6,7.0,3,1.0,1.0,2.0,4,3,3.0,3,2,3.0,3,2.0,3.0,3.0,2.0,2.0,2.0,2,3.0,2.0,2,1.0,7.0
711,713,1,5.0,0,1.0,1,5,7.0,14,2.0,1.0,1.0,4,3,2.0,2,2,2.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,2,2.0,10.0
712,714,2,2.0,0,2.0,1,8,7.0,4,1.0,4.0,2.0,1,1,1.0,2,1,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,2,1.0,7.0
713,715,2,2.0,0,3.0,1,9,7.0,7,2.0,2.0,2.0,3,1,3.0,3,4,3.0,3,3.0,4.0,3.0,3.0,3.0,2.0,3,4.0,3.0,2,2.0,6.0
714,716,1,2.0,0,3.0,1,8,6.0,5,1.0,1.0,1.0,4,0,1.0,1,1,1.0,1,1.0,2.0,1.0,2.0,3.0,1.0,1,2.0,2.0,1,1.0,9.0
715,717,1,2.0,0,2.0,2,9,5.0,8,1.0,1.0,2.0,3,2,2.0,4,3,3.0,3,2.0,2.0,2.0,2.0,5.0,2.0,2,3.0,3.0,2,1.0,7.0
716,718,1,2.0,0,3.0,1,8,1.0,4,1.0,1.0,2.0,4,1,4.0,3,3,5.0,3,3.0,3.0,3.0,3.0,4.0,4.0,3,5.0,4.0,2,3.0,5.0
718,720,2,3.0,0,3.0,1,8,7.0,14,2.0,1.0,2.0,2,2,3.0,5,5,3.0,5,4.0,4.0,4.0,2.0,4.0,3.0,4,3.0,2.0,2,3.0,4.0
720,722,2,1.0,0,2.0,1,9,7.0,7,1.0,1.0,2.0,4,0,2.0,3,2,4.0,4,4.0,3.0,5.0,2.0,2.0,3.0,3,3.0,3.0,2,2.0,7.0
721,723,2,2.0,0,9.0,7,8,3.0,1,4.0,2.0,2.0,2,2,2.0,3,3,3.0,3,2.0,3.0,2.0,2.0,3.0,3.0,3,3.0,3.0,3,2.0,8.0
725,727,1,3.0,0,3.0,1,1,7.0,5,2.0,2.0,1.0,5,1,2.0,3,3,3.0,1,3.0,2.0,3.0,2.0,2.0,1.0,4,3.0,3.0,1,1.0,8.0
726,728,1,2.0,0,3.0,1,1,5.0,14,1.0,4.0,2.0,3,0,3.0,4,4,4.0,3,2.0,4.0,4.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,5.0
727,729,2,4.0,0,1.0,1,9,7.0,3,2.0,1.0,1.0,5,0,2.0,1,1,2.0,1,3.0,2.0,2.0,2.0,3.0,2.0,2,3.0,3.0,3,2.0,8.0
728,730,2,2.0,0,3.0,1,9,7.0,7,1.0,1.0,2.0,3,0,3.0,2,2,3.0,1,2.0,2.0,3.0,3.0,3.0,4.0,3,3.0,3.0,1,2.0,7.0
729,731,2,3.0,0,3.0,1,9,1.0,8,2.0,1.0,2.0,4,1,2.0,2,3,2.0,1,2.0,2.0,3.0,3.0,2.0,1.0,2,3.0,3.0,3,2.0,8.0
730,732,1,4.0,0,1.0,1,9,7.0,1,2.0,1.0,1.0,4,0,1.0,1,1,2.0,3,2.0,1.0,2.0,2.0,3.0,2.0,2,3.0,1.0,2,1.0,9.0
731,733,1,3.0,0,3.0,1,3,7.0,10,4.0,1.0,2.0,3,0,3.0,3,3,3.0,4,5.0,3.0,2.0,2.0,2.0,3.0,3,3.0,3.0,2,2.0,6.0
732,734,2,2.0,0,3.0,1,8,5.0,14,1.0,4.0,2.0,3,0,3.0,4,4,3.0,4,4.0,4.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,4.0,6.0
734,736,2,2.0,0,3.0,1,9,7.0,12,1.0,4.0,2.0,4,0,3.0,3,4,3.0,3,3.0,2.0,3.0,2.0,2.0,4.0,3,3.0,3.0,2,3.0,7.0
735,737,1,2.0,0,3.0,2,8,3.0,9,1.0,4.0,2.0,2,3,3.0,4,4,5.0,4,3.0,3.0,3.0,3.0,2.0,2.0,4,5.0,3.0,2,3.0,5.0
738,740,1,3.0,0,1.0,1,9,2.0,2,2.0,1.0,1.0,3,1,2.0,2,1,2.0,4,1.0,2.0,1.0,2.0,1.0,1.0,3,2.0,2.0,2,1.0,9.0
744,746,1,2.0,0,3.0,1,9,3.0,7,1.0,4.0,1.0,2,0,2.0,2,2,2.0,2,2.0,2.0,2.0,3.0,2.0,1.0,2,3.0,3.0,1,2.0,8.0
745,747,1,3.0,0,3.0,1,8,7.0,4,1.0,1.0,2.0,4,0,2.0,2,2,1.0,1,2.0,3.0,2.0,4.0,4.0,1.0,2,2.0,3.0,3,2.0,7.0
746,748,1,4.0,0,3.0,2,5,7.0,10,2.0,1.0,1.0,4,0,2.0,1,2,2.0,4,2.0,2.0,1.0,1.0,2.0,3.0,2,2.0,3.0,2,1.0,8.0
747,749,1,6.0,0,3.0,1,5,7.0,14,3.0,2.0,2.0,4,0,2.0,2,2,3.0,1,4.0,1.0,3.0,2.0,2.0,2.0,2,2.0,3.0,3,2.0,8.0
748,750,2,2.0,0,3.0,1,9,7.0,12,1.0,4.0,2.0,4,1,3.0,3,1,3.0,1,5.0,3.0,2.0,2.0,2.0,4.0,3,3.0,3.0,3,3.0,7.0
749,751,1,4.0,0,1.0,1,9,7.0,7,2.0,1.0,1.0,4,0,2.0,3,2,2.0,1,2.0,3.0,2.0,2.0,2.0,1.0,2,3.0,3.0,3,2.0,8.0
750,752,2,2.0,0,3.0,1,7,7.0,14,1.0,1.0,2.0,3,0,4.0,4,4,3.0,4,3.0,4.0,3.0,2.0,2.0,4.0,3,3.0,3.0,2,3.0,6.0
751,753,1,3.0,0,3.0,1,9,7.0,4,1.0,1.0,1.0,4,1,3.0,2,2,3.0,1,2.0,2.0,2.0,2.0,2.0,4.0,3,3.0,3.0,2,2.0,7.0
752,754,2,2.0,0,3.0,1,8,7.0,12,1.0,1.0,2.0,4,1,2.0,3,2,3.0,1,2.0,2.0,4.0,3.0,2.0,2.0,2,4.0,2.0,2,2.0,8.0
753,755,1,5.0,0,3.0,1,9,2.0,3,2.0,3.0,1.0,5,2,1.0,1,1,1.0,2,3.0,1.0,2.0,2.0,3.0,2.0,2,2.0,1.0,2,1.0,9.0
754,756,1,6.0,0,3.0,1,5,9.0,9,2.0,1.0,2.0,1,2,2.0,2,3,3.0,2,2.0,2.0,3.0,3.0,4.0,3.0,3,3.0,2.0,3,3.0,6.0
755,757,2,1.0,0,3.0,1,8,2.0,4,2.0,1.0,1.0,1,0,2.0,2,2,3.0,3,2.0,3.0,2.0,3.0,3.0,2.0,3,3.0,3.0,3,2.0,6.0
